period_flag,category_raw,value
CORE,침입절도 / 검거건수[건],51766.0
CORE,청소년보호법 / 여자검거인원[명],51466.0
CORE,의료법 / 검거인원[명],51342.0
CORE,산업안전보건법 / 발생건수[건],51240.0
CORE,산업안전보건법 / 검거건수[건],51109.0
CORE,주거침입,50709.0
CORE,감염병의 예방 및 관리에 관한법률 / 남자검거인원[명],50697.0
CORE,게임산업진흥에 관한법률 / 발생건수[건],50524.0
CORE,공유수면관리 및 매립에 관한법률 / 발생건수[건],50325.0
CORE,공유수면관리 및 매립에 관한법률 / 검거건수[건],50127.0
CORE,병역법 / 검거인원[명],49569.0
CORE,게임산업진흥에 관한법률 / 검거건수[건],49433.0
CORE,산업안전보건법 / 법인[개],49021.0
CORE,카메라등 이용촬영 / 검거인원[명],48763.0
CORE,병역법 / 남자검거인원[명],48631.0
CORE,공갈 / 남자검거인원[명],48462.0
CORE,병역법 / 검거건수[건],47887.0
CORE,신용업무경매 / 여자검거인원[명],47154.0
CORE,청소년보호법 / 남자검거인원[명],47028.0
CORE,카메라등 이용촬영 / 남자검거인원[명],46571.0
CORE,위조범죄 / 여자검거인원[명],45809.0
CORE,무고 / 검거건수[건],45189.0
CORE,업무상과실치사상 / 남자검거인원[명],45115.0
CORE,건축법 / 검거인원[명],44714.0
CORE,문서 / 여자검거인원[명],44494.0
CORE,기타형법범죄 / 미상검거인원[명],44307.0
CORE,정보통신망이용촉진 및 정보보호 등에 관한법률 / 여자검거인원[명],43426.0
CORE,조세범처벌법 / 검거인원[명],43417.0
CORE,식품위생법 / 남자검거인원[명],42632.0
CORE,저작권법 / 미상검거인원[명],42521.0
CORE,보험사기방지특별법 / 남자검거인원[명],41744.0
CORE,통화,41719.0
CORE,공갈,41098.0
CORE,건축법 / 발생건수[건],40664.0
CORE,상표법 / 검거인원[명],40298.0
CORE,아동복지법 / 남자검거인원[명],40143.0
CORE,건축법 / 검거건수[건],39606.0
CORE,무고 / 남자검거인원[명],39489.0
CORE,도로교통법(사고후미조치) / 여자검거인원[명],39084.0
CORE,"폭력행위등(손괴,강요,주거침입등) / 검거인원[명]",38721.0
CORE,강도,38698.0
CORE,근로기준법 / 여자검거인원[명],38428.0
CORE,공무원범죄 / 발생건수[건],37663.0
CORE,공갈 / 검거건수[건],37455.0
CORE,조세범처벌법 / 남자검거인원[명],36484.0
CORE,공무방해 / 여자검거인원[명],36474.0
CORE,풍속범죄 / 여자검거인원[명],36299.0
CORE,위증과증거인멸 / 검거인원[명],36021.0
CORE,상표법 / 발생건수[건],35676.0
CORE,업무상과실치사상 / 발생건수[건],35399.0
CORE,컴퓨터등사용사기 / 검거인원[명],35322.0
CORE,무고,34539.0
CORE,도박과 복표 / 여자검거인원[명],34511.0
CORE,도박 / 여자검거인원[명],34510.0
CORE,총계 / 발생비[건/10만명],34342.2
CORE,도로법 / 검거인원[명],34285.0
CORE,아동복지법 / 여자검거인원[명],34001.0
CORE,업무상과실치사상 / 검거건수[건],34001.0
CORE,수산업법 / 발생건수[건],33944.0
CORE,수산업법 / 검거건수[건],33872.0
CORE,통신매체 이용음란 / 발생건수[건],33385.0
CORE,업무상과실치상 / 검거인원[명],33279.0
CORE,상표법 / 검거건수[건],33218.0
