mapping_version,source,year_from,year_to,category_raw,category_std,confidence,notes
v2,NPA,2024,2025,배임수재,FRAUD_FIN,HIGH,AUTO_FROM_RAW
v2,NPA,2024,2025,강간등치상,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,국민체육진흥법,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,간음,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,신앙,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,건설기계관리법,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,전파법,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,증뢰,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,직업안정법,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,의료기기법,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,하천법,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,옥외광고물등의 관리와 옥외광고산업진흥에 관한법률,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,건강기능식품에 관한법률,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,비밀침해,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,"폭력행위등(단체등의구성, 활동)",OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,디자인보호법,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,특수강도강간등,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,배임증재,FRAUD_FIN,HIGH,AUTO_FROM_RAW
v2,NPA,2024,2025,공무방해치상,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,배타적경제수역에서의 외국인어업등에 관한법률,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,강도상해,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,강간등상해,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,액화석유가스의 안전관리 및 사업법,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,특허법,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,중대재해처벌등에관한법률,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,영유아보육법,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,사행행위 등 규제 및 처벌특례법,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,수도법,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,농수산물유통 및 가격안정에 관한법률,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,주차장법,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,감금치상,TRAFFICKING,HIGH,AUTO_FROM_RAW
v2,NPA,2024,2025,"강간등(강간,준강간,간음,강제추행,준강제추행)",OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,풍속영업의 규제에 관한법률,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,결혼중개업의 관리에 관한법률,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,폭행치사,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,유가증권·인지·우표,FRAUD_FIN,HIGH,AUTO_FROM_RAW
v2,NPA,2024,2025,국가기술자격법,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,국가보안법,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,상해치사,OTHER,LOW,AUTO_FROM_RAW
