mapping_version,source,year_from,year_to,category_raw,category_std,confidence,notes
v1,NPA,2005,2023,정보통신망이용촉진 및 정보보호 등에 관한법률 / 검거건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,과실범죄 / 검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,배임 / 발생건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,식품위생법 / 검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,주거침입 / 남자검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,청소년보호법 / 검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,특별법범 / 미상검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,성매매알선 등 행위의 처벌에 관한법률 / 남자검거인원[명],TRAFFICKING,HIGH,AUTO_DRAFT
v1,NPA,2005,2023,풍속범죄 / 검거건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,권리행사방해 / 검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,명예 / 여자검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,권리행사방해 / 발생건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,정보통신망이용촉진 및 정보보호 등에 관한법률 / 남자검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,과실범죄 / 발생건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,배임 / 검거건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,저작권법 / 검거건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,횡령 / 여자검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,감염병의 예방 및 관리에 관한법률 / 검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,마약류관리에 관한법률(향정) / 검거인원[명],DRUG,HIGH,AUTO_DRAFT
v1,NPA,2005,2023,전자금융거래법 / 검거건수[건],FRAUD_FIN,HIGH,AUTO_DRAFT
v1,NPA,2005,2023,전자금융거래법 / 발생건수[건],FRAUD_FIN,HIGH,AUTO_DRAFT
v1,NPA,2005,2023,청소년보호법 / 발생건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,과실범죄 / 남자검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,식품위생법 / 발생건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,특가법(도주차량) / 발생건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,청소년보호법 / 검거건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,식품위생법 / 검거건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,특가법(도주차량) / 검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,근로자 퇴직급여 보장법 / 검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,도박과 복표 / 발생건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,도박 / 발생건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,저작권법 / 남자검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,게임산업진흥에 관한법률 / 검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,과실범죄 / 검거건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,아동복지법 / 검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,도박과 복표 / 검거건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,도박 / 검거건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,권리행사방해 / 남자검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,사기 / 미상검거인원[명],FRAUD_FIN,HIGH,AUTO_DRAFT
v1,NPA,2005,2023,특가법(도주차량) / 검거건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,경범죄처벌법 / 발생건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,권리행사방해 / 검거건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,마약류관리에 관한법률(향정) / 발생건수[건],DRUG,HIGH,AUTO_DRAFT
v1,NPA,2005,2023,성매매알선 등 행위의 처벌에 관한법률 / 발생건수[건],TRAFFICKING,HIGH,AUTO_DRAFT
v1,NPA,2005,2023,성매매알선 등 행위의 처벌에 관한법률 / 검거건수[건],TRAFFICKING,HIGH,AUTO_DRAFT
v1,NPA,2005,2023,경범죄처벌법 / 검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,예비군법 / 발생건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,무고 / 검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,근로자 퇴직급여 보장법 / 남자검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,마약류관리에 관한법률(향정) / 검거건수[건],DRUG,HIGH,AUTO_DRAFT
v1,NPA,2005,2023,특가법(도주차량) / 남자검거인원[명],OTHER,LOW,AUTO_DRAFT
